Hex,HTML name, idx,Family,Decimal,Red,Green,Blue,Sample,,,,,,,,,,,,,,,,,,,,,
#C71585,MediumVioletRed,2,Pink colors,"199, 21, 133",199,21,133,,,,,,,,,,,,,,,,,,,,,,
#FF1493,DeepPink,3,Pink colors,"255, 20, 147",255,20,147,,,,,,,,,,,,,,,,,,,,,,
#DB7093,PaleVioletRed,4,Pink colors,"219, 112, 147",219,112,147,,,,,,,,,,,,,,,,,,,,,,
#FF69B4,HotPink,5,Pink colors,"255, 105, 180",255,105,180,,,,,,,,,,,,,,,,,,,,,,
#FFB6C1,LightPink,6,Pink colors,"255, 182, 193",255,182,193,,,,,,,,,,,,,,,,,,,,,,
#FFC0CB,Pink,7,Pink colors,"255, 192, 203",255,192,203,,,,,,,,,,,,,,,,,,,,,,
#8B0000,DarkRed,9,Red colors,"139, 0, 0",139,0,0,,,,,,,,,,,,,,,,,,,,,,
#FF0000,Red,10,Red colors,"255, 0, 0",255,0,0,,,,,,,,,,,,,,,,,,,,,,
#B22222,Firebrick,11,Red colors,"178, 34, 34",178,34,34,,,,,,,,,,,,,,,,,,,,,,
#DC143C,Crimson,12,Red colors,"220, 20, 60",220,20,60,,,,,,,,,,,,,,,,,,,,,,
#CD5C5C,IndianRed,13,Red colors,"205, 92, 92",205,92,92,,,,,,,,,,,,,,,,,,,,,,
#F08080,LightCoral,14,Red colors,"240, 128, 128",240,128,128,,,,,,,,,,,,,,,,,,,,,,
#FA8072,Salmon,15,Red colors,"250, 128, 114",250,128,114,,,,,,,,,,,,,,,,,,,,,,
#E9967A,DarkSalmon,16,Red colors,"233, 150, 122",233,150,122,,,,,,,,,,,,,,,,,,,,,,
#FFA07A,LightSalmon,17,Red colors,"255, 160, 122",255,160,122,,,,,,,,,,,,,,,,,,,,,,
#FF4500,OrangeRed,19,Orange colors,"255, 69, 0",255,69,0,,,,,,,,,,,,,,,,,,,,,,
#FF6347,Tomato,20,Orange colors,"255, 99, 71",255,99,71,,,,,,,,,,,,,,,,,,,,,,
#FF8C00,DarkOrange,21,Orange colors,"255, 140, 0",255,140,0,,,,,,,,,,,,,,,,,,,,,,
#FF7F50,Coral,22,Orange colors,"255, 127, 80",255,127,80,,,,,,,,,,,,,,,,,,,,,,
#FFA500,Orange,23,Orange colors,"255, 165, 0",255,165,0,,,,,,,,,,,,,,,,,,,,,,
#BDB76B,DarkKhaki,25,Yellow colors,"189, 183, 107",189,183,107,,,,,,,,,,,,,,,,,,,,,,
#FFD700,Gold,26,Yellow colors,"255, 215, 0",255,215,0,,,,,,,,,,,,,,,,,,,,,,
#F0E68C,Khaki,27,Yellow colors,"240, 230, 140",240,230,140,,,,,,,,,,,,,,,,,,,,,,
#FFDAB9,PeachPuff,28,Yellow colors,"255, 218, 185",255,218,185,,,,,,,,,,,,,,,,,,,,,,
#FFFF00,Yellow,29,Yellow colors,"255, 255, 0",255,255,0,,,,,,,,,,,,,,,,,,,,,,
#EEE8AA,PaleGoldenrod,30,Yellow colors,"238, 232, 170",238,232,170,,,,,,,,,,,,,,,,,,,,,,
#FFE4B5,Moccasin,31,Yellow colors,"255, 228, 181",255,228,181,,,,,,,,,,,,,,,,,,,,,,
#FFEFD5,PapayaWhip,32,Yellow colors,"255, 239, 213",255,239,213,,,,,,,,,,,,,,,,,,,,,,
#FAFAD2,LightGoldenrodYellow,33,Yellow colors,"250, 250, 210",250,250,210,,,,,,,,,,,,,,,,,,,,,,
#FFFACD,LemonChiffon,34,Yellow colors,"255, 250, 205",255,250,205,,,,,,,,,,,,,,,,,,,,,,
#FFFFE0,LightYellow,35,Yellow colors,"255, 255, 224",255,255,224,,,,,,,,,,,,,,,,,,,,,,
#800000,Maroon,37,Brown colors,"128, 0, 0",128,0,0,,,,,,,,,,,,,,,,,,,,,,
#A52A2A,Brown,38,Brown colors,"165, 42, 42",165,42,42,,,,,,,,,,,,,,,,,,,,,,
#8B4513,SaddleBrown,39,Brown colors,"139, 69, 19",139,69,19,,,,,,,,,,,,,,,,,,,,,,
#A0522D,Sienna,40,Brown colors,"160, 82, 45",160,82,45,,,,,,,,,,,,,,,,,,,,,,
#D2691E,Chocolate,41,Brown colors,"210, 105, 30",210,105,30,,,,,,,,,,,,,,,,,,,,,,
#B8860B,DarkGoldenrod,42,Brown colors,"184, 134, 11",184,134,11,,,,,,,,,,,,,,,,,,,,,,
#CD853F,Peru,43,Brown colors,"205, 133, 63",205,133,63,,,,,,,,,,,,,,,,,,,,,,
#BC8F8F,RosyBrown,44,Brown colors,"188, 143, 143",188,143,143,,,,,,,,,,,,,,,,,,,,,,
#DAA520,Goldenrod,45,Brown colors,"218, 165, 32",218,165,32,,,,,,,,,,,,,,,,,,,,,,
#F4A460,SandyBrown,46,Brown colors,"244, 164, 96",244,164,96,,,,,,,,,,,,,,,,,,,,,,
#D2B48C,Tan,47,Brown colors,"210, 180, 140",210,180,140,,,,,,,,,,,,,,,,,,,,,,
#DEB887,Burlywood,48,Brown colors,"222, 184, 135",222,184,135,,,,,,,,,,,,,,,,,,,,,,
#F5DEB3,Wheat,49,Brown colors,"245, 222, 179",245,222,179,,,,,,,,,,,,,,,,,,,,,,
#FFDEAD,NavajoWhite,50,Brown colors,"255, 222, 173",255,222,173,,,,,,,,,,,,,,,,,,,,,,
#FFE4C4,Bisque,51,Brown colors,"255, 228, 196",255,228,196,,,,,,,,,,,,,,,,,,,,,,
#FFEBCD,BlanchedAlmond,52,Brown colors,"255, 235, 205",255,235,205,,,,,,,,,,,,,,,,,,,,,,
#FFF8DC,Cornsilk,53,Brown colors,"255, 248, 220",255,248,220,,,,,,,,,,,,,,,,,,,,,,
#4B0082,Indigo,55,"Purple, violet, and magenta colors","75, 0, 130",75,0,130,,,,,,,,,,,,,,,,,,,,,,
#800080,Purple,56,"Purple, violet, and magenta colors","128, 0, 128",128,0,128,,,,,,,,,,,,,,,,,,,,,,
#8B008B,DarkMagenta,57,"Purple, violet, and magenta colors","139, 0, 139",139,0,139,,,,,,,,,,,,,,,,,,,,,,
#9400D3,DarkViolet,58,"Purple, violet, and magenta colors","148, 0, 211",148,0,211,,,,,,,,,,,,,,,,,,,,,,
#483D8B,DarkSlateBlue,59,"Purple, violet, and magenta colors","72, 61, 139",72,61,139,,,,,,,,,,,,,,,,,,,,,,
#8A2BE2,BlueViolet,60,"Purple, violet, and magenta colors","138, 43, 226",138,43,226,,,,,,,,,,,,,,,,,,,,,,
#9932CC,DarkOrchid,61,"Purple, violet, and magenta colors","153, 50, 204",153,50,204,,,,,,,,,,,,,,,,,,,,,,
#FF00FF,Fuchsia,62,"Purple, violet, and magenta colors","255, 0, 255",255,0,255,,,,,,,,,,,,,,,,,,,,,,
#FF00FF,Magenta,63,"Purple, violet, and magenta colors","255, 0, 255",255,0,255,,,,,,,,,,,,,,,,,,,,,,
#6A5ACD,SlateBlue,64,"Purple, violet, and magenta colors","106, 90, 205",106,90,205,,,,,,,,,,,,,,,,,,,,,,
#7B68EE,MediumSlateBlue,65,"Purple, violet, and magenta colors","123, 104, 238",123,104,238,,,,,,,,,,,,,,,,,,,,,,
#BA55D3,MediumOrchid,66,"Purple, violet, and magenta colors","186, 85, 211",186,85,211,,,,,,,,,,,,,,,,,,,,,,
#9370DB,MediumPurple,67,"Purple, violet, and magenta colors","147, 112, 219",147,112,219,,,,,,,,,,,,,,,,,,,,,,
#DA70D6,Orchid,68,"Purple, violet, and magenta colors","218, 112, 214",218,112,214,,,,,,,,,,,,,,,,,,,,,,
#EE82EE,Violet,69,"Purple, violet, and magenta colors","238, 130, 238",238,130,238,,,,,,,,,,,,,,,,,,,,,,
#DDA0DD,Plum,70,"Purple, violet, and magenta colors","221, 160, 221",221,160,221,,,,,,,,,,,,,,,,,,,,,,
#D8BFD8,Thistle,71,"Purple, violet, and magenta colors","216, 191, 216",216,191,216,,,,,,,,,,,,,,,,,,,,,,
#E6E6FA,Lavender,72,"Purple, violet, and magenta colors","230, 230, 250",230,230,250,,,,,,,,,,,,,,,,,,,,,,
#191970,MidnightBlue,74,Blue colors,"25, 25, 112",25,25,112,,,,,,,,,,,,,,,,,,,,,,
#000080,Navy,75,Blue colors,"0, 0, 128",0,0,128,,,,,,,,,,,,,,,,,,,,,,
#00008B,DarkBlue,76,Blue colors,"0, 0, 139",0,0,139,,,,,,,,,,,,,,,,,,,,,,
#0000CD,MediumBlue,77,Blue colors,"0, 0, 205",0,0,205,,,,,,,,,,,,,,,,,,,,,,
#0000FF,Blue,78,Blue colors,"0, 0, 255",0,0,255,,,,,,,,,,,,,,,,,,,,,,
#4169e1,RoyalBlue,79,Blue colors,"65, 105, 225",65,105,225,,,,,,,,,,,,,,,,,,,,,,
#4682B4,SteelBlue,80,Blue colors,"70, 130, 180",70,130,180,,,,,,,,,,,,,,,,,,,,,,
#1E90FF,DodgerBlue,81,Blue colors,"30, 144, 255",30,144,255,,,,,,,,,,,,,,,,,,,,,,
#00BFFF,DeepSkyBlue,82,Blue colors,"0, 191, 255",0,191,255,,,,,,,,,,,,,,,,,,,,,,
#6495ED,CornflowerBlue,83,Blue colors,"100, 149, 237",100,149,237,,,,,,,,,,,,,,,,,,,,,,
#87CEEB,SkyBlue,84,Blue colors,"135, 206, 235",135,206,235,,,,,,,,,,,,,,,,,,,,,,
#87CEFA,LightSkyBlue,85,Blue colors,"135, 206, 250",135,206,250,,,,,,,,,,,,,,,,,,,,,,
#B0C4DE,LightSteelBlue,86,Blue colors,"176, 196, 222",176,196,222,,,,,,,,,,,,,,,,,,,,,,
#ADD8E6,LightBlue,87,Blue colors,"173, 216, 230",173,216,230,,,,,,,,,,,,,,,,,,,,,,
#B0E0E6,PowderBlue,88,Blue colors,"176, 224, 230",176,224,230,,,,,,,,,,,,,,,,,,,,,,
#008080,Teal,90,Cyan colors,"0, 128, 128",0,128,128,,,,,,,,,,,,,,,,,,,,,,
#008B8B,DarkCyan,91,Cyan colors,"0, 139, 139",0,139,139,,,,,,,,,,,,,,,,,,,,,,
#20B2AA,LightSeaGreen,92,Cyan colors,"32, 178, 170",32,178,170,,,,,,,,,,,,,,,,,,,,,,
#5F9EA0,CadetBlue,93,Cyan colors,"95, 158, 160",95,158,160,,,,,,,,,,,,,,,,,,,,,,
#00CED1,DarkTurquoise,94,Cyan colors,"0, 206, 209",0,206,209,,,,,,,,,,,,,,,,,,,,,,
#48D1CC,MediumTurquoise,95,Cyan colors,"72, 209, 204",72,209,204,,,,,,,,,,,,,,,,,,,,,,
#40E0D0,Turquoise,96,Cyan colors,"64, 224, 208",64,224,208,,,,,,,,,,,,,,,,,,,,,,
#00FFFF,Aqua,97,Cyan colors,"0, 255, 255",0,255,255,,,,,,,,,,,,,,,,,,,,,,
#00FFFF,Cyan,98,Cyan colors,"0, 255, 255",0,255,255,,,,,,,,,,,,,,,,,,,,,,
#7FFFD4,Aquamarine,99,Cyan colors,"127, 255, 212",127,255,212,,,,,,,,,,,,,,,,,,,,,,
#AFEEEE,PaleTurquoise,100,Cyan colors,"175, 238, 238",175,238,238,,,,,,,,,,,,,,,,,,,,,,
#E0FFFF,LightCyan,101,Cyan colors,"224, 255, 255",224,255,255,,,,,,,,,,,,,,,,,,,,,,
#006400,DarkGreen,103,Green colors,"0, 100, 0",0,100,0,,,,,,,,,,,,,,,,,,,,,,
#008000,Green,104,Green colors,"0, 128, 0",0,128,0,,,,,,,,,,,,,,,,,,,,,,
#556B2F,DarkOliveGreen,105,Green colors,"85, 107, 47",85,107,47,,,,,,,,,,,,,,,,,,,,,,
#228B22,ForestGreen,106,Green colors,"34, 139, 34",34,139,34,,,,,,,,,,,,,,,,,,,,,,
#2E8B57,SeaGreen,107,Green colors,"46, 139, 87",46,139,87,,,,,,,,,,,,,,,,,,,,,,
#808000,Olive,108,Green colors,"128, 128, 0",128,128,0,,,,,,,,,,,,,,,,,,,,,,
#6B8E23,OliveDrab,109,Green colors,"107, 142, 35",107,142,35,,,,,,,,,,,,,,,,,,,,,,
#3CB371,MediumSeaGreen,110,Green colors,"60, 179, 113",60,179,113,,,,,,,,,,,,,,,,,,,,,,
#32CD32,LimeGreen,111,Green colors,"50, 205, 50",50,205,50,,,,,,,,,,,,,,,,,,,,,,
#00FF00,Lime,112,Green colors,"0, 255, 0",0,255,0,,,,,,,,,,,,,,,,,,,,,,
#00FF7F,SpringGreen,113,Green colors,"0, 255, 127",0,255,127,,,,,,,,,,,,,,,,,,,,,,
#00FA9A,MediumSpringGreen,114,Green colors,"0, 250, 154",0,250,154,,,,,,,,,,,,,,,,,,,,,,
#8FBC8F,DarkSeaGreen,115,Green colors,"143, 188, 143",143,188,143,,,,,,,,,,,,,,,,,,,,,,
#66CDAA,MediumAquamarine,116,Green colors,"102, 205, 170",102,205,170,,,,,,,,,,,,,,,,,,,,,,
#9ACD32,YellowGreen,117,Green colors,"154, 205, 50",154,205,50,,,,,,,,,,,,,,,,,,,,,,
#7CFC00,LawnGreen,118,Green colors,"124, 252, 0",124,252,0,,,,,,,,,,,,,,,,,,,,,,
#7FFF00,Chartreuse,119,Green colors,"127, 255, 0",127,255,0,,,,,,,,,,,,,,,,,,,,,,
#90EE90,LightGreen,120,Green colors,"144, 238, 144",144,238,144,,,,,,,,,,,,,,,,,,,,,,
#ADFF2F,GreenYellow,121,Green colors,"173, 255, 47",173,255,47,,,,,,,,,,,,,,,,,,,,,,
#98FB98,PaleGreen,122,Green colors,"152, 251, 152",152,251,152,,,,,,,,,,,,,,,,,,,,,,
#FFE4E1,MistyRose,124,White colors,"255, 228, 225",255,228,225,,,,,,,,,,,,,,,,,,,,,,
#FAEBD7,AntiqueWhite,125,White colors,"250, 235, 215",250,235,215,,,,,,,,,,,,,,,,,,,,,,
#FAF0E6,Linen,126,White colors,"250, 240, 230",250,240,230,,,,,,,,,,,,,,,,,,,,,,
#F5F5DC,Beige,127,White colors,"245, 245, 220",245,245,220,,,,,,,,,,,,,,,,,,,,,,
#F5F5F5,WhiteSmoke,128,White colors,"245, 245, 245",245,245,245,,,,,,,,,,,,,,,,,,,,,,
#FFF0F5,LavenderBlush,129,White colors,"255, 240, 245",255,240,245,,,,,,,,,,,,,,,,,,,,,,
#FDF5E6,OldLace,130,White colors,"253, 245, 230",253,245,230,,,,,,,,,,,,,,,,,,,,,,
#F0F8FF,AliceBlue,131,White colors,"240, 248, 255",240,248,255,,,,,,,,,,,,,,,,,,,,,,
#FFF5EE,Seashell,132,White colors,"255, 245, 238",255,245,238,,,,,,,,,,,,,,,,,,,,,,
#F8F8FF,GhostWhite,133,White colors,"248, 248, 255",248,248,255,,,,,,,,,,,,,,,,,,,,,,
#F0FFF0,Honeydew,134,White colors,"240, 255, 240",240,255,240,,,,,,,,,,,,,,,,,,,,,,
#FFFAF0,FloralWhite,135,White colors,"255, 250, 240",255,250,240,,,,,,,,,,,,,,,,,,,,,,
#F0FFFF,Azure,136,White colors,"240, 255, 255",240,255,255,,,,,,,,,,,,,,,,,,,,,,
#F5FFFA,MintCream,137,White colors,"245, 255, 250",245,255,250,,,,,,,,,,,,,,,,,,,,,,
#FFFAFA,Snow,138,White colors,"255, 250, 250",255,250,250,,,,,,,,,,,,,,,,,,,,,,
#FFFFF0,Ivory,139,White colors,"255, 255, 240",255,255,240,,,,,,,,,,,,,,,,,,,,,,
#FFFFFF,White,140,White colors,"255, 255, 255",255,255,255,,,,,,,,,,,,,,,,,,,,,,
#000000,Black,142,Gray and black colors,"0, 0, 0",0,0,0,,,,,,,,,,,,,,,,,,,,,,
#2F4F4F,DarkSlateGray,143,Gray and black colors,"47, 79, 79",47,79,79,,,,,,,,,,,,,,,,,,,,,,
#696969,DimGray,144,Gray and black colors,"105, 105, 105",105,105,105,,,,,,,,,,,,,,,,,,,,,,
#708090,SlateGray,145,Gray and black colors,"112, 128, 144",112,128,144,,,,,,,,,,,,,,,,,,,,,,
#808080,Gray,146,Gray and black colors,"128, 128, 128",128,128,128,,,,,,,,,,,,,,,,,,,,,,
#778899,LightSlateGray,147,Gray and black colors,"119, 136, 153",119,136,153,,,,,,,,,,,,,,,,,,,,,,
#A9A9A9,DarkGray,148,Gray and black colors,"169, 169, 169",169,169,169,,,,,,,,,,,,,,,,,,,,,,
#C0C0C0,Silver,149,Gray and black colors,"192, 192, 192",192,192,192,,,,,,,,,,,,,,,,,,,,,,
#D3D3D3,LightGray,150,Gray and black colors,"211, 211, 211",211,211,211,,,,,,,,,,,,,,,,,,,,,,
#DCDCDC,Gainsboro,151,Gray and black colors,"220, 220, 220",220,220,220,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
