hex,Color Name,Red,Green,Blue,Family,Link,Souirce,Color
#0048ba,Absolute Zero,0,72,186,,https://www.color-hex.com/color/0048ba,color-hex.com,
#b0bf1a,Acid Green,176,191,26,,https://www.color-hex.com/color/b0bf1a,color-hex.com,
#f0f8ff,AliceBlue,240,248,255,,https://www.color-hex.com/color/f0f8ff,color-hex.com,
#e32636,Alizarin crimson,227,38,54,,https://www.color-hex.com/color/e32636,color-hex.com,
#e52b50,Amaranth,229,43,80,,https://www.color-hex.com/color/e52b50,color-hex.com,
#ffbf00,Amber,255,191,0,,https://www.color-hex.com/color/ffbf00,color-hex.com,
#9966cc,Amethyst,153,102,204,,https://www.color-hex.com/color/9966cc,color-hex.com,
#faebd7,AntiqueWhite,250,235,215,,https://www.color-hex.com/color/faebd7,color-hex.com,
#ffefdb,AntiqueWhite1,255,239,219,,https://www.color-hex.com/color/ffefdb,color-hex.com,
#eedfcc,AntiqueWhite2,238,223,204,,https://www.color-hex.com/color/eedfcc,color-hex.com,
#cdc0b0,AntiqueWhite3,205,192,176,,https://www.color-hex.com/color/cdc0b0,color-hex.com,
#8b8378,AntiqueWhite4,139,131,120,,https://www.color-hex.com/color/8b8378,color-hex.com,
#fbceb1,Apricot,251,206,177,,https://www.color-hex.com/color/fbceb1,color-hex.com,
#00ffff,Aqua,0,255,255,,https://www.color-hex.com/color/00ffff,color-hex.com,
#7fffd4,Aquamarine1,127,255,212,,https://www.color-hex.com/color/7fffd4,color-hex.com,
#76eec6,Aquamarine2,118,238,198,,https://www.color-hex.com/color/76eec6,color-hex.com,
#458b74,Aquamarine4,69,139,116,,https://www.color-hex.com/color/458b74,color-hex.com,
#4b5320,Army Green,75,83,32,,https://www.color-hex.com/color/4b5320,color-hex.com,
#e9d66b,Arylide Yellow,233,214,107,,https://www.color-hex.com/color/e9d66b,color-hex.com,
#b2beb5,Ash Grey,178,190,181,,https://www.color-hex.com/color/b2beb5,color-hex.com,
#87a96b,Asparagus,135,169,107,,https://www.color-hex.com/color/87a96b,color-hex.com,
#fdee00,Aureolin,253,238,0,,https://www.color-hex.com/color/fdee00,color-hex.com,
#f0ffff,Azure1,240,255,255,,https://www.color-hex.com/color/f0ffff,color-hex.com,
#e0eeee,Azure2,224,238,238,,https://www.color-hex.com/color/e0eeee,color-hex.com,
#c1cdcd,Azure3,193,205,205,,https://www.color-hex.com/color/c1cdcd,color-hex.com,
#838b8b,Azure4,131,139,139,,https://www.color-hex.com/color/838b8b,color-hex.com,
#89cff0,Baby Blue,137,207,240,,https://www.color-hex.com/color/89cff0,color-hex.com,
#f4c2c2,Baby Pink,244,194,194,,https://www.color-hex.com/color/f4c2c2,color-hex.com,
#ff91af,Baker-Miller Pink,255,145,175,,https://www.color-hex.com/color/ff91af,color-hex.com,
#fae7b5,Banana Mania,250,231,181,,https://www.color-hex.com/color/fae7b5,color-hex.com,
#ffe135,Banana Yellow,255,225,53,,https://www.color-hex.com/color/ffe135,color-hex.com,
#7c0a02,Barn Red,124,10,2,,https://www.color-hex.com/color/7c0a02,color-hex.com,
#848482,Battleship Gray,132,132,130,,https://www.color-hex.com/color/848482,color-hex.com,
#9f8170,Beaver,159,129,112,,https://www.color-hex.com/color/9f8170,color-hex.com,
#f5f5dc,Beige,245,245,220,,https://www.color-hex.com/color/f5f5dc,color-hex.com,
#ffe4c4,Bisque1,255,228,196,,https://www.color-hex.com/color/ffe4c4,color-hex.com,
#eed5b7,Bisque2,238,213,183,,https://www.color-hex.com/color/eed5b7,color-hex.com,
#cdb79e,Bisque3,205,183,158,,https://www.color-hex.com/color/cdb79e,color-hex.com,
#8b7d6b,Bisque4,139,125,107,,https://www.color-hex.com/color/8b7d6b,color-hex.com,
#3d2b1f,Bistre,61,43,31,,https://www.color-hex.com/color/3d2b1f,color-hex.com,
#cae00d,Bitter Lemon,202,224,13,,https://www.color-hex.com/color/cae00d,color-hex.com,
#bfff00,Bitter Lime,191,255,0,,https://www.color-hex.com/color/bfff00,color-hex.com,
#fe6f5e,Bittersweet,254,111,94,,https://www.color-hex.com/color/fe6f5e,color-hex.com,
#bf4f51,Bittersweet Shimmer,191,79,81,,https://www.color-hex.com/color/bf4f51,color-hex.com,
#000000,Black,0,0,0,,https://www.color-hex.com/color/000000,color-hex.com,
#3b2f2f,Black Coffee,59,47,47,,https://www.color-hex.com/color/3b2f2f,color-hex.com,
#3b3c36,Black Olive,59,60,54,,https://www.color-hex.com/color/3b3c36,color-hex.com,
#bfafb2,Black Shadows,191,175,178,,https://www.color-hex.com/color/bfafb2,color-hex.com,
#ffebcd,BlanchedAlmond,255,235,205,,https://www.color-hex.com/color/ffebcd,color-hex.com,
#318ce7,Bleu de France,49,140,231,,https://www.color-hex.com/color/318ce7,color-hex.com,
#faf0be,Blond,250,240,190,,https://www.color-hex.com/color/faf0be,color-hex.com,
#0018a8,Blue (Pantone),0,24,168,,https://www.color-hex.com/color/0018a8,color-hex.com,
#a2a2d0,Blue Bell,162,162,208,,https://www.color-hex.com/color/a2a2d0,color-hex.com,
#0d98ba,Blue Green,13,152,186,,https://www.color-hex.com/color/0d98ba,color-hex.com,
#0000ff,Blue1,0,0,255,,https://www.color-hex.com/color/0000ff,color-hex.com,
#0000ee,Blue2,0,0,238,,https://www.color-hex.com/color/0000ee,color-hex.com,
#00008b,Blue4,0,0,139,,https://www.color-hex.com/color/00008b,color-hex.com,
#8a2be2,BlueViolet,138,43,226,,https://www.color-hex.com/color/8a2be2,color-hex.com,
#79443b,Bole,121,68,59,,https://www.color-hex.com/color/79443b,color-hex.com,
#e3dac9,Bone,227,218,201,,https://www.color-hex.com/color/e3dac9,color-hex.com,
#873260,Boysenberry,135,50,96,,https://www.color-hex.com/color/873260,color-hex.com,
#0070ff,Brandeis Blue,0,112,255,,https://www.color-hex.com/color/0070ff,color-hex.com,
#b5a642,Brass,181,166,66,,https://www.color-hex.com/color/b5a642,color-hex.com,
#cb4154,Brick Red,203,65,84,,https://www.color-hex.com/color/cb4154,color-hex.com,
#1dacd6,Bright Cerulean,29,172,214,,https://www.color-hex.com/color/1dacd6,color-hex.com,
#66ff00,Bright Green,102,255,0,,https://www.color-hex.com/color/66ff00,color-hex.com,
#bf94e4,Bright Lavender,191,148,228,,https://www.color-hex.com/color/bf94e4,color-hex.com,
#d891ef,Bright Lilac,216,145,239,,https://www.color-hex.com/color/d891ef,color-hex.com,
#c32148,Bright Maroon,195,33,72,,https://www.color-hex.com/color/c32148,color-hex.com,
#1974d2,Bright Navy Blue,25,116,210,,https://www.color-hex.com/color/1974d2,color-hex.com,
#08e8de,Bright Turquoise,8,232,222,,https://www.color-hex.com/color/08e8de,color-hex.com,
#d19fe8,Bright Ube,209,159,232,,https://www.color-hex.com/color/d19fe8,color-hex.com,
#ff55a3,Brilliant Rose,255,85,163,,https://www.color-hex.com/color/ff55a3,color-hex.com,
#fb607f,Brink Pink,251,96,127,,https://www.color-hex.com/color/fb607f,color-hex.com,
#004225,British Racing Green,0,66,37,,https://www.color-hex.com/color/004225,color-hex.com,
#cd7f32,Bronze,205,127,50,,https://www.color-hex.com/color/cd7f32,color-hex.com,
#a52a2a,Brown,165,42,42,,https://www.color-hex.com/color/a52a2a,color-hex.com,
#ff4040,Brown1,255,64,64,,https://www.color-hex.com/color/ff4040,color-hex.com,
#ee3b3b,Brown2,238,59,59,,https://www.color-hex.com/color/ee3b3b,color-hex.com,
#cd3333,Brown3,205,51,51,,https://www.color-hex.com/color/cd3333,color-hex.com,
#8b2323,Brown4,139,35,35,,https://www.color-hex.com/color/8b2323,color-hex.com,
#1b4d3e,Brunswick Green,27,77,62,,https://www.color-hex.com/color/1b4d3e,color-hex.com,
#ffc1cc,Bubble Gum,255,193,204,,https://www.color-hex.com/color/ffc1cc,color-hex.com,
#f0dc82,Buff,240,220,130,,https://www.color-hex.com/color/f0dc82,color-hex.com,
#480607,Bulgarian Rose,72,6,7,,https://www.color-hex.com/color/480607,color-hex.com,
#800020,Burgundy,128,0,32,,https://www.color-hex.com/color/800020,color-hex.com,
#deb887,Burlywood,222,184,135,,https://www.color-hex.com/color/deb887,color-hex.com,
#ffd39b,Burlywood1,255,211,155,,https://www.color-hex.com/color/ffd39b,color-hex.com,
#eec591,Burlywood2,238,197,145,,https://www.color-hex.com/color/eec591,color-hex.com,
#cdaa7d,Burlywood3,205,170,125,,https://www.color-hex.com/color/cdaa7d,color-hex.com,
#8b7355,Burlywood4,139,115,85,,https://www.color-hex.com/color/8b7355,color-hex.com,
#a17a74,Burnished Brown,161,122,116,,https://www.color-hex.com/color/a17a74,color-hex.com,
#cc5500,Burnt Orange,204,85,0,,https://www.color-hex.com/color/cc5500,color-hex.com,
#e97451,Burnt Sienna,233,116,81,,https://www.color-hex.com/color/e97451,color-hex.com,
#8a3324,Burnt Umber,138,51,36,,https://www.color-hex.com/color/8a3324,color-hex.com,
#bd33a4,Byzantine,189,51,164,,https://www.color-hex.com/color/bd33a4,color-hex.com,
#702963,Byzantium,112,41,99,,https://www.color-hex.com/color/702963,color-hex.com,
#91a3b0,Cadet Grey,145,163,176,,https://www.color-hex.com/color/91a3b0,color-hex.com,
#5f9ea0,CadetBlue,95,158,160,,https://www.color-hex.com/color/5f9ea0,color-hex.com,
#98f5ff,CadetBlue1,152,245,255,,https://www.color-hex.com/color/98f5ff,color-hex.com,
#8ee5ee,CadetBlue2,142,229,238,,https://www.color-hex.com/color/8ee5ee,color-hex.com,
#7ac5cd,CadetBlue3,122,197,205,,https://www.color-hex.com/color/7ac5cd,color-hex.com,
#53868b,CadetBlue4,83,134,139,,https://www.color-hex.com/color/53868b,color-hex.com,
#006b3c,Cadmium Green,0,107,60,,https://www.color-hex.com/color/006b3c,color-hex.com,
#ed872d,Cadmium Orange,237,135,45,,https://www.color-hex.com/color/ed872d,color-hex.com,
#e30022,Cadmium Red,227,0,34,,https://www.color-hex.com/color/e30022,color-hex.com,
#fff600,Cadmium Yellow,255,246,0,,https://www.color-hex.com/color/fff600,color-hex.com,
#a3c1ad,Cambridge Blue,163,193,173,,https://www.color-hex.com/color/a3c1ad,color-hex.com,
#c19a6b,Camel,193,154,107,,https://www.color-hex.com/color/c19a6b,color-hex.com,
#efbbcc,Cameo Pink,239,187,204,,https://www.color-hex.com/color/efbbcc,color-hex.com,
#78866b,Camouflage Green,120,134,107,,https://www.color-hex.com/color/78866b,color-hex.com,
#ffff99,Canary,255,255,153,,https://www.color-hex.com/color/ffff99,color-hex.com,
#ffef00,Canary Yellow,255,239,0,,https://www.color-hex.com/color/ffef00,color-hex.com,
#ff0800,Candy Apple Red,255,8,0,,https://www.color-hex.com/color/ff0800,color-hex.com,
#e4717a,Candy Pink,228,113,122,,https://www.color-hex.com/color/e4717a,color-hex.com,
#592720,Caput Mortuum,89,39,32,,https://www.color-hex.com/color/592720,color-hex.com,
#c41e3a,Cardinal,196,30,58,,https://www.color-hex.com/color/c41e3a,color-hex.com,
#00cc99,Caribbean Green,0,204,153,,https://www.color-hex.com/color/00cc99,color-hex.com,
#960018,Carmine,150,0,24,,https://www.color-hex.com/color/960018,color-hex.com,
#eb4c42,Carmine Pink,235,76,66,,https://www.color-hex.com/color/eb4c42,color-hex.com,
#ffa6c9,Carnation Pink,255,166,201,,https://www.color-hex.com/color/ffa6c9,color-hex.com,
#b31b1b,Carnelian,179,27,27,,https://www.color-hex.com/color/b31b1b,color-hex.com,
#56a0d3,Carolina Blue,86,160,211,,https://www.color-hex.com/color/56a0d3,color-hex.com,
#ed9121,Carrot Orange,237,145,33,,https://www.color-hex.com/color/ed9121,color-hex.com,
#00563f,Castleton Green,0,86,63,,https://www.color-hex.com/color/00563f,color-hex.com,
#c95a49,Cedar Chest,201,90,73,,https://www.color-hex.com/color/c95a49,color-hex.com,
#ace1af,Celadon,172,225,175,,https://www.color-hex.com/color/ace1af,color-hex.com,
#2f847c,Celadon Green,47,132,124,,https://www.color-hex.com/color/2f847c,color-hex.com,
#b2ffff,Celeste,178,255,255,,https://www.color-hex.com/color/b2ffff,color-hex.com,
#246bce,Celtic Blue,36,107,206,,https://www.color-hex.com/color/246bce,color-hex.com,
#de3163,Cerise,222,49,99,,https://www.color-hex.com/color/de3163,color-hex.com,
#007ba7,Cerulean,0,123,167,,https://www.color-hex.com/color/007ba7,color-hex.com,
#2a52be,Cerulean Blue,42,82,190,,https://www.color-hex.com/color/2a52be,color-hex.com,
#6d9bc3,Cerulean Frost,109,155,195,,https://www.color-hex.com/color/6d9bc3,color-hex.com,
#007aa5,Cg Blue,0,122,165,,https://www.color-hex.com/color/007aa5,color-hex.com,
#a0785a,Chamoisee,160,120,90,,https://www.color-hex.com/color/a0785a,color-hex.com,
#f7e7ce,Champagne,247,231,206,,https://www.color-hex.com/color/f7e7ce,color-hex.com,
#36454f,Charcoal,54,69,79,,https://www.color-hex.com/color/36454f,color-hex.com,
#7fff00,Chartreuse1,127,255,0,,https://www.color-hex.com/color/7fff00,color-hex.com,
#76ee00,Chartreuse2,118,238,0,,https://www.color-hex.com/color/76ee00,color-hex.com,
#66cd00,Chartreuse3,102,205,0,,https://www.color-hex.com/color/66cd00,color-hex.com,
#458b00,Chartreuse4,69,139,0,,https://www.color-hex.com/color/458b00,color-hex.com,
#ffb7c5,Cherry Blossom Pink,255,183,197,,https://www.color-hex.com/color/ffb7c5,color-hex.com,
#954535,Chestnut,149,69,53,,https://www.color-hex.com/color/954535,color-hex.com,
#d2691e,Chocolate,210,105,30,,https://www.color-hex.com/color/d2691e,color-hex.com,
#ff7f24,Chocolate1,255,127,36,,https://www.color-hex.com/color/ff7f24,color-hex.com,
#ee7621,Chocolate2,238,118,33,,https://www.color-hex.com/color/ee7621,color-hex.com,
#cd661d,Chocolate3,205,102,29,,https://www.color-hex.com/color/cd661d,color-hex.com,
#ffa700,Chrome Yellow,255,167,0,,https://www.color-hex.com/color/ffa700,color-hex.com,
#98817b,Cinereous,152,129,123,,https://www.color-hex.com/color/98817b,color-hex.com,
#e34234,Cinnabar,227,66,52,,https://www.color-hex.com/color/e34234,color-hex.com,
#e4d00a,Citrine,228,208,10,,https://www.color-hex.com/color/e4d00a,color-hex.com,
#9fa91f,Citron,159,169,31,,https://www.color-hex.com/color/9fa91f,color-hex.com,
#7f1734,Claret,127,23,52,,https://www.color-hex.com/color/7f1734,color-hex.com,
#0047ab,Cobalt,0,71,171,,https://www.color-hex.com/color/0047ab,color-hex.com,
#6f4e37,Coffee,111,78,55,,https://www.color-hex.com/color/6f4e37,color-hex.com,
#8c92ac,Cool Grey,140,146,172,,https://www.color-hex.com/color/8c92ac,color-hex.com,
#b87333,Copper,184,115,51,,https://www.color-hex.com/color/b87333,color-hex.com,
#cb6d51,Copper Red,203,109,81,,https://www.color-hex.com/color/cb6d51,color-hex.com,
#996666,Copper Rose,153,102,102,,https://www.color-hex.com/color/996666,color-hex.com,
#ff3800,Coquelicot,255,56,0,,https://www.color-hex.com/color/ff3800,color-hex.com,
#ff7f50,Coral,255,127,80,,https://www.color-hex.com/color/ff7f50,color-hex.com,
#f88379,Coral Pink,248,131,121,,https://www.color-hex.com/color/f88379,color-hex.com,
#ff7256,Coral1,255,114,86,,https://www.color-hex.com/color/ff7256,color-hex.com,
#ee6a50,Coral2,238,106,80,,https://www.color-hex.com/color/ee6a50,color-hex.com,
#cd5b45,Coral3,205,91,69,,https://www.color-hex.com/color/cd5b45,color-hex.com,
#8b3e2f,Coral4,139,62,47,,https://www.color-hex.com/color/8b3e2f,color-hex.com,
#893f45,Cordovan,137,63,69,,https://www.color-hex.com/color/893f45,color-hex.com,
#fbec5d,Corn,251,236,93,,https://www.color-hex.com/color/fbec5d,color-hex.com,
#6495ed,CornflowerBlue,100,149,237,,https://www.color-hex.com/color/6495ed,color-hex.com,
#fff8dc,Cornsilk1,255,248,220,,https://www.color-hex.com/color/fff8dc,color-hex.com,
#eee8cd,Cornsilk2,238,232,205,,https://www.color-hex.com/color/eee8cd,color-hex.com,
#cdc8b1,Cornsilk3,205,200,177,,https://www.color-hex.com/color/cdc8b1,color-hex.com,
#8b8878,Cornsilk4,139,136,120,,https://www.color-hex.com/color/8b8878,color-hex.com,
#2e2d88,Cosmic Cobalt,46,45,136,,https://www.color-hex.com/color/2e2d88,color-hex.com,
#fff8e7,Cosmic Latte,255,248,231,,https://www.color-hex.com/color/fff8e7,color-hex.com,
#ffbcd9,Cotton Candy,255,188,217,,https://www.color-hex.com/color/ffbcd9,color-hex.com,
#fffdd0,Cream,255,253,208,,https://www.color-hex.com/color/fffdd0,color-hex.com,
#dc143c,Crimson,220,20,60,,https://www.color-hex.com/color/dc143c,color-hex.com,
#a7d8de,Crystal,167,216,222,,https://www.color-hex.com/color/a7d8de,color-hex.com,
#00ffff,Cyan1,0,255,255,,https://www.color-hex.com/color/00ffff,color-hex.com,
#00eeee,Cyan2,0,238,238,,https://www.color-hex.com/color/00eeee,color-hex.com,
#00cdcd,Cyan3,0,205,205,,https://www.color-hex.com/color/00cdcd,color-hex.com,
#008b8b,Cyan4,0,139,139,,https://www.color-hex.com/color/008b8b,color-hex.com,
#f56fa1,Cyclamen,245,111,161,,https://www.color-hex.com/color/f56fa1,color-hex.com,
#ffff31,Daffodil,255,255,49,,https://www.color-hex.com/color/ffff31,color-hex.com,
#f0e130,Dandelion,240,225,48,,https://www.color-hex.com/color/f0e130,color-hex.com,
#654321,Dark Brown,101,67,33,,https://www.color-hex.com/color/654321,color-hex.com,
#5d3954,Dark Byzantium,93,57,84,,https://www.color-hex.com/color/5d3954,color-hex.com,
#1a2421,Dark Jungle Green,26,36,33,,https://www.color-hex.com/color/1a2421,color-hex.com,
#734f96,Dark Lavender,115,79,150,,https://www.color-hex.com/color/734f96,color-hex.com,
#4a5d23,Dark Moss Green,74,93,35,,https://www.color-hex.com/color/4a5d23,color-hex.com,
#03c03c,Dark Pastel Green,3,192,60,,https://www.color-hex.com/color/03c03c,color-hex.com,
#3c1414,Dark Sienna,60,20,20,,https://www.color-hex.com/color/3c1414,color-hex.com,
#8cbed6,Dark Sky Blue,140,190,214,,https://www.color-hex.com/color/8cbed6,color-hex.com,
#177245,Dark Spring Green,23,114,69,,https://www.color-hex.com/color/177245,color-hex.com,
#b8860b,DarkGoldenrod,184,134,11,,https://www.color-hex.com/color/b8860b,color-hex.com,
#ffb90f,DarkGoldenrod1,255,185,15,,https://www.color-hex.com/color/ffb90f,color-hex.com,
#eead0e,DarkGoldenrod2,238,173,14,,https://www.color-hex.com/color/eead0e,color-hex.com,
#cd950c,DarkGoldenrod3,205,149,12,,https://www.color-hex.com/color/cd950c,color-hex.com,
#8b6508,DarkGoldenrod4,139,101,8,,https://www.color-hex.com/color/8b6508,color-hex.com,
#006400,DarkGreen,0,100,0,,https://www.color-hex.com/color/006400,color-hex.com,
#bdb76b,DarkKhaki,189,183,107,,https://www.color-hex.com/color/bdb76b,color-hex.com,
#556b2f,DarkOliveGreen,85,107,47,,https://www.color-hex.com/color/556b2f,color-hex.com,
#caff70,DarkOliveGreen1,202,255,112,,https://www.color-hex.com/color/caff70,color-hex.com,
#bcee68,DarkOliveGreen2,188,238,104,,https://www.color-hex.com/color/bcee68,color-hex.com,
#a2cd5a,DarkOliveGreen3,162,205,90,,https://www.color-hex.com/color/a2cd5a,color-hex.com,
#6e8b3d,DarkOliveGreen4,110,139,61,,https://www.color-hex.com/color/6e8b3d,color-hex.com,
#ff8c00,DarkOrange,255,140,0,,https://www.color-hex.com/color/ff8c00,color-hex.com,
#ff7f00,DarkOrange1,255,127,0,,https://www.color-hex.com/color/ff7f00,color-hex.com,
#ee7600,DarkOrange2,238,118,0,,https://www.color-hex.com/color/ee7600,color-hex.com,
#cd6600,DarkOrange3,205,102,0,,https://www.color-hex.com/color/cd6600,color-hex.com,
#8b4500,DarkOrange4,139,69,0,,https://www.color-hex.com/color/8b4500,color-hex.com,
#9932cc,DarkOrchid,153,50,204,,https://www.color-hex.com/color/9932cc,color-hex.com,
#bf3eff,DarkOrchid1,191,62,255,,https://www.color-hex.com/color/bf3eff,color-hex.com,
#b23aee,DarkOrchid2,178,58,238,,https://www.color-hex.com/color/b23aee,color-hex.com,
#9a32cd,DarkOrchid3,154,50,205,,https://www.color-hex.com/color/9a32cd,color-hex.com,
#68228b,DarkOrchid4,104,34,139,,https://www.color-hex.com/color/68228b,color-hex.com,
#e9967a,DarkSalmon,233,150,122,,https://www.color-hex.com/color/e9967a,color-hex.com,
#8fbc8f,DarkSeaGreen,143,188,143,,https://www.color-hex.com/color/8fbc8f,color-hex.com,
#c1ffc1,DarkSeaGreen1,193,255,193,,https://www.color-hex.com/color/c1ffc1,color-hex.com,
#b4eeb4,DarkSeaGreen2,180,238,180,,https://www.color-hex.com/color/b4eeb4,color-hex.com,
#9bcd9b,DarkSeaGreen3,155,205,155,,https://www.color-hex.com/color/9bcd9b,color-hex.com,
#698b69,DarkSeaGreen4,105,139,105,,https://www.color-hex.com/color/698b69,color-hex.com,
#483d8b,DarkSlateBlue,72,61,139,,https://www.color-hex.com/color/483d8b,color-hex.com,
#2f4f4f,DarkSlateGray,47,79,79,,https://www.color-hex.com/color/2f4f4f,color-hex.com,
#97ffff,DarkSlateGray1,151,255,255,,https://www.color-hex.com/color/97ffff,color-hex.com,
#8deeee,DarkSlateGray2,141,238,238,,https://www.color-hex.com/color/8deeee,color-hex.com,
#79cdcd,DarkSlateGray3,121,205,205,,https://www.color-hex.com/color/79cdcd,color-hex.com,
#528b8b,DarkSlateGray4,82,139,139,,https://www.color-hex.com/color/528b8b,color-hex.com,
#00ced1,DarkTurquoise,0,206,209,,https://www.color-hex.com/color/00ced1,color-hex.com,
#9400d3,DarkViolet,148,0,211,,https://www.color-hex.com/color/9400d3,color-hex.com,
#00703c,Dartmouth Green,0,112,60,,https://www.color-hex.com/color/00703c,color-hex.com,
#da3287,Deep Cerise,218,50,135,,https://www.color-hex.com/color/da3287,color-hex.com,
#fad6a5,Deep Champagne,250,214,165,,https://www.color-hex.com/color/fad6a5,color-hex.com,
#c154c1,Deep Fuchsia,193,84,193,,https://www.color-hex.com/color/c154c1,color-hex.com,
#004b49,Deep Jungle Green,0,75,73,,https://www.color-hex.com/color/004b49,color-hex.com,
#ffcba4,Deep Peach,255,203,164,,https://www.color-hex.com/color/ffcba4,color-hex.com,
#ff9933,Deep Saffron,255,153,51,,https://www.color-hex.com/color/ff9933,color-hex.com,
#4a646c,Deep Space Sparkle,74,100,108,,https://www.color-hex.com/color/4a646c,color-hex.com,
#b94e48,Deep chestnut,185,78,72,,https://www.color-hex.com/color/b94e48,color-hex.com,
#ff1493,DeepPink1,255,20,147,,https://www.color-hex.com/color/ff1493,color-hex.com,
#ee1289,DeepPink2,238,18,137,,https://www.color-hex.com/color/ee1289,color-hex.com,
#cd1076,DeepPink3,205,16,118,,https://www.color-hex.com/color/cd1076,color-hex.com,
